municipio,uf,populacao,casos_covid_2023,obitos_covid_2023,taxa_cobertura_vacina,pessoas_testadas,data_atualizacao,regiao
SAO PAULO,SP,12396372,1245630,45230,87.5,982104,2023-12-15,SUDESTE
RIO DE JANEIRO,RJ,6747430,892450,39450,81.2,567890,2023-12-15,SUDESTE
BELO HORIZONTE,MG,2530597,145670,2345,89.3,234567,2023-12-15,SUDESTE
BRASILIA,DF,3108949,234560,3456,90.1,345678,2023-12-15,CENTRO-OESTE
SALVADOR,BA,2595576,156780,2890,78.5,234567,2023-12-15,NORDESTE
FORTALEZA,CE,2703551,198765,3234,82.1,312345,2023-12-15,NORDESTE
MANAUS,AM,1819595,87234,1567,75.3,145678,2023-12-15,NORTE
RECIFE,PE,1668272,123456,1890,79.8,189234,2023-12-15,NORDESTE
PORTO ALEGRE,RS,1483771,234567,3456,88.9,267890,2023-12-15,SUL
CURITIBA,PR,1948626,189234,2567,86.7,234567,2023-12-15,SUL
GOIANIA,GO,1555626,98765,1234,84.2,156789,2023-12-15,CENTRO-OESTE
MACEIO,AL,1014733,65432,987,76.1,98765,2023-12-15,NORDESTE
NATAL,RN,890046,54321,765,81.3,76543,2023-12-15,NORDESTE
CAMPO GRANDE,MS,864063,45678,654,83.5,67890,2023-12-15,CENTRO-OESTE
TERESINA,PI,868075,43210,543,77.8,54321,2023-12-15,NORDESTE
